Net_Passengers,2019 Total Housing Units,2019 Total Daytime Population,2019 Unemployment Rate,2014-2018 ACS Average Number of Vehicles,2014-2018 ACS HHs: Inc Below Poverty Level,2019 Median Household Income,Household Density,Daytime_Population_Density,Shape Area sqmi,2014-2018 ACS HHs: Inc Below Poverty Level,2014-2018 ACS HHs: Inc Below Poverty Level: Percent,primary_length,secondary_length,tertiary_length,walk_length,Undeveloped_Sq_Meters,Developed_OP_Sq_Meters,Developed_LI_Sq_Meters,Developed_MI_Sq_Meters,Developed_HI_Sq_Meters,Square_Meters_Residential,Square_Meters_Com_Ind_MU,Square_Meters_Other
0,278,2188,1.2,1.5,102,18847,278,2188,1,102,38.93,0.002026689,0.001942225,0.001586014,0.000691367,240300,408600,472500,524700,365400,27486.1299,126490.7145,25054.06589
101,244,2185,1,1.4,103,17071,244,2185,1,103,42.56,0.002026689,0.001942225,0.001586014,0.000691367,200700,306900,462600,576000,462600,24091.26423,144506.9735,26423.97476
-11,190,2045,1.3,1.4,90,15706,190,2045,1,90,45.92,0.002026689,0.001942225,0.002019029,0.000275493,206100,258300,439200,582300,519300,19868.96696,153011.2616,44364.0072
-168,102,1325,1.2,1.4,46,15710,102,1325,1,46,46.46,0.002026689,0.001942225,0.002019029,0.000275493,223200,224100,398700,581400,579600,15175.54754,136910.9986,41813.83944
78,184,1523,1.4,1.4,87,15673,184,1523,1,87,46.28,0.002026689,0.001942225,0.002019029,0.000275493,162000,214200,423000,598500,609300,16176.3217,155948.4116,42514.03681
-3,192,1522,1.3,1.4,91,15644,192,1522,1,91,45.96,0.002026689,0.001942225,0.002019029,0.000275493,110700,206100,441000,608400,645300,18886.68983,171114.2974,42577.9357
1,212,1715,1.2,1.4,102,15678,212,1715,1,102,46.36,0.002026689,0.001942225,0.002019029,0.000275493,99900,218700,460800,585900,641700,20911.742,178669.8831,43525.31189
69,231,1680,1.1,1.4,110,15628,231,1680,1,110,46.03,0.002026689,0.006765434,0.002019029,0.000275493,61200,225900,503100,569700,648000,27966.39533,171449.5937,45909.88556
82,316,1775,7.5,1.3,122,16293,316,1775,1,122,45.86,0.002026689,0.006765434,0.004158975,0.002558597,37800,227700,539100,567900,635400,29850.74364,173868.2358,46719.98272
15,337,1374,11.7,1.2,128,16758,337,1374,1,128,44.76,0.002026689,0.007839761,0.004158975,0,48600,279000,603900,532800,549900,35081.75207,156362.5362,49756.0242
